From	To
P04626	CHEMBL1824
P00533	CHEMBL203
Q16539	CHEMBL260
Q06187	CHEMBL5251
P30838	CHEMBL3578
Q07343	CHEMBL275
P53350	CHEMBL3024
P11362	CHEMBL3650
P53779	CHEMBL2637
Q16288	CHEMBL5608
P42330	CHEMBL4681
Q9UM73	CHEMBL4247
P48736	CHEMBL3267
P43405	CHEMBL2599
P27540	CHEMBL5618
Q99814	CHEMBL1744522
P68400	CHEMBL3629
P15056	CHEMBL5145
P00523	CHEMBL3655
P24941	CHEMBL301
Q86YV6	CHEMBL5426
P03366	CHEMBL5823
P08631	CHEMBL3234
Q8IYT8	CHEMBL5435
Q9UHD2	CHEMBL5408
P11309	CHEMBL2147
P06239	CHEMBL258
O96013	CHEMBL4482
Q9P286	CHEMBL4524
P30274	CHEMBL4106153
P12931	CHEMBL267
Q00534	CHEMBL2508
P20248	CHEMBL2582
P02766	CHEMBL3194
P15494	CHEMBL3879834
P04117	CHEMBL1075118
P53355	CHEMBL2558
P05413	CHEMBL3344
Q5TCY1	CHEMBL1926492
Q9Y233	CHEMBL4409
Q02750	CHEMBL3587
Q8NEB9	CHEMBL1075165
Q14397	CHEMBL1075152
Q08210	CHEMBL3588732
Q02127	CHEMBL1966
Q63707	CHEMBL2383
P04629	CHEMBL2815
P54760	CHEMBL5147
Q14289	CHEMBL5469
Q9Y6E0	CHEMBL5082
O75385	CHEMBL6006
P30291	CHEMBL5491
P22455	CHEMBL3973
P52333	CHEMBL2148
P00338	CHEMBL4835
P63086	CHEMBL5233
P28482	CHEMBL4040
O95819	CHEMBL6166
Q9H2X6	CHEMBL4576
Q9HAZ1	CHEMBL4203
P19784	CHEMBL4070
P49761	CHEMBL4226
P49760	CHEMBL4225
P49759	CHEMBL4224
O60674	CHEMBL2971
P36897	CHEMBL4439
P00519	CHEMBL1862
Q6DE08	CHEMBL2176838
Q59H18	CHEMBL5260
Q05397	CHEMBL2695
O60885	CHEMBL1163125
O14757	CHEMBL4630
Q9UKE5	CHEMBL4527
P29466	CHEMBL4801
O14965	CHEMBL4722
P06493	CHEMBL308
P14635	CHEMBL2412
P51955	CHEMBL3835
P33981	CHEMBL3983
Q13164	CHEMBL5332
Q12852	CHEMBL1908389
P51812	CHEMBL2345
Q13882	CHEMBL4601
Q9H2K2	CHEMBL6154
Q13188	CHEMBL4708
P03372	CHEMBL206
Q15562	CHEMBL4523301
P36507	CHEMBL2964
Q8TEK3	CHEMBL1795117
P56817	CHEMBL4822
P01112	CHEMBL2167
Q07889	CHEMBL2079846
P0DP23	CHEMBL6093
P04585	CHEMBL3638360
P48735	CHEMBL3991501
O43353	CHEMBL5014
O43318	CHEMBL5776
Q15750	CHEMBL5605
Q9BJF5	CHEMBL1781862
P54753	CHEMBL4901
Q9Y657	CHEMBL4523509
Q08499	CHEMBL288
Q14680	CHEMBL4578
Q9UBN7	CHEMBL1865
Q6VAB6	CHEMBL3627583
P29678	CHEMBL5740
Q8NB16	CHEMBL1938217
Q7KZI7	CHEMBL3831
P08069	CHEMBL1957
P16234	CHEMBL2007
Q92630	CHEMBL4376
Q86Y07	CHEMBL1649059
Q99986	CHEMBL1293199
P29597	CHEMBL3553
P00489	CHEMBL4696
P54762	CHEMBL5072
P41182	CHEMBL4105786
P07333	CHEMBL1844
O35795	CHEMBL3300
P07948	CHEMBL3905
Q8IXJ6	CHEMBL4462
Q92793	CHEMBL5747
Q9C0B1	CHEMBL2331065
P34913	CHEMBL2409
P0C1S8	CHEMBL5095
Q99640	CHEMBL3984
P07332	CHEMBL5455
Q07912	CHEMBL4599
Q04771	CHEMBL5903
Q12866	CHEMBL5331
P23526	CHEMBL2664
P19429	CHEMBL2095202
P63316	CHEMBL2095202
Q9NWZ3	CHEMBL3778
Q9H4B4	CHEMBL4897
P29317	CHEMBL2068
P21802	CHEMBL4142
P43490	CHEMBL1744525
P04798	CHEMBL2231
Q02880	CHEMBL3396
P06737	CHEMBL2568
Q6PJP8	CHEMBL4105903
A0QNE0	CHEMBL6059
Q13627	CHEMBL2292
P00520	CHEMBL3099
Q9WUN2	CHEMBL2189160
Q86WV6	CHEMBL4523377
P36888	CHEMBL1974
Q6PHR2	CHEMBL5047
Q96PY6	CHEMBL5855
Q8IDQ9	CHEMBL2052030
P50135	CHEMBL2190
P31749	CHEMBL4282
P49841	CHEMBL262
P01116	CHEMBL2189121
O43683	CHEMBL1772932
P0AES6	CHEMBL1826
P00918	CHEMBL205
O94804	CHEMBL3981
P21860	CHEMBL5838
Q9UQM7	CHEMBL4147
P35747	CHEMBL3751645
P37231	CHEMBL235
P05979	CHEMBL2949
Q05769	CHEMBL4321
P02768	CHEMBL3253
P00179	CHEMBL1907985
P24627	CHEMBL2796
P59071	CHEMBL3784910
P07949	CHEMBL2041
Q6IQ55	CHEMBL3337327
P08581	CHEMBL3717
O75874	CHEMBL2007625
Q587A7	CHEMBL1667688
Q8TF76	CHEMBL1075163
P00746	CHEMBL2176771
P54646	CHEMBL2116
P0A6I6	CHEMBL4523175
Q9HBH9	CHEMBL4204
P10721	CHEMBL1936
Q92918	CHEMBL5749
O60218	CHEMBL5983
P35354	CHEMBL230
P10275	CHEMBL1871
P9WNS1	CHEMBL5630
P62593	CHEMBL2065
P62593	CHEMBL2364670
P18031	CHEMBL335
Q460N5	CHEMBL2176777
Q16875	CHEMBL2331053
Q15303	CHEMBL3009
Q9H8M2	CHEMBL3108640
Q08881	CHEMBL2959
Q58F21	CHEMBL1795185
P52895	CHEMBL5847
P05543	CHEMBL3843
P43235	CHEMBL268
Q15375	CHEMBL4602
Q13153	CHEMBL4600
Q02763	CHEMBL4128
P03951	CHEMBL2820
Q9UKK9	CHEMBL4105713
Q04828	CHEMBL5905
Q16853	CHEMBL3437
P35968	CHEMBL279
P0AEG4	CHEMBL3559645
O15530	CHEMBL2534
O60760	CHEMBL5879
Q8IU85	CHEMBL5073
P49137	CHEMBL2208
P03355	CHEMBL3562
Q9T0N8	CHEMBL5363
Q9HBL8	CHEMBL4802017
Q15759	CHEMBL3961
Q15418	CHEMBL2553
Q9Y6M4	CHEMBL5084
P28523	CHEMBL4514
P00636	CHEMBL2263
Q07785	CHEMBL2189145
P78362	CHEMBL5668
P61964	CHEMBL1075317
P25779	CHEMBL3563
Q27686	CHEMBL5149
Q96RR4	CHEMBL5284
Q9NYY3	CHEMBL5938
P36639	CHEMBL3708265
P25440	CHEMBL1293289
P07900	CHEMBL3880
P16083	CHEMBL3959
Q15788	CHEMBL1615387
P42684	CHEMBL4014
Q08345	CHEMBL5319
P27707	CHEMBL2447
O60563	CHEMBL2108
P50750	CHEMBL3116
P00749	CHEMBL3286
Q96JM7	CHEMBL1287623
P51449	CHEMBL1741186
P77173	CHEMBL3954
P9WMC1	CHEMBL1772929
P15121	CHEMBL1900
Q07869	CHEMBL239
P50053	CHEMBL1275212
